SCHCD,AC_YEAR,TCH_MALE,TCH_FEMALE,TCH_NR,HEADTCH,HTCHNAME,GRADABOVE,TCHWITHPROF,DAYSINVLD,TCHINVLD
29111601709,2016-17,6,4,0,0, ,0,10,0,0
29301404403,2016-17,1,0,0,0, ,0,1,0,0
29020600501,2016-17,1,3,0,1, ,3,4,0,0
29040506902,2016-17,8,1,0,0, ,8,9,0,0
29130307401,2016-17,6,1,0,1, ,0,7,0,0
29050418104,2016-17,2,2,0,1, ,3,4,0,0
29050210902,2016-17,3,2,0,1,SHRIDEVI,0,5,0,0
29100900509,2016-17,2,3,0,1, ,0,5,0,0
29070218113,2016-17,0,0,0,0, ,0,0,0,0
29030500637,2016-17,0,0,0,0, ,0,0,0,0
29070205007,2016-17,0,0,0,0, ,0,0,0,0
29080607501,2016-17,0,0,0,0, ,0,0,0,0
29040511811,2016-17,0,0,0,0, ,0,0,0,0
29070204102,2016-17,0,0,0,0, ,0,0,0,0
29280706906,2016-17,0,0,0,0, ,0,0,0,0
29280721208,2016-17,0,0,0,0, ,0,0,0,0
29130211810,2016-17,0,0,0,0, ,0,0,0,0
29280712406,2016-17,0,0,0,0, ,0,0,0,0
29031216307,2016-17,0,0,0,0, ,0,0,0,0
29020901118,2016-17,0,0,0,0, ,0,0,0,0
29020601913,2016-17,0,0,0,0, ,0,0,0,0
29280235214,2016-17,0,0,0,0, ,0,0,0,0
29130518619,2016-17,0,0,0,0, ,0,0,0,0
29050402104,2016-17,0,0,0,0, ,0,0,0,0
29090603830,2016-17,0,0,0,0, ,0,0,0,0
29130520705,2016-17,0,0,0,0, ,0,0,0,0
29070405203,2016-17,0,0,0,0, ,0,0,0,0
29280702209,2016-17,0,0,0,0, ,0,0,0,0
29301403319,2016-17,0,0,0,0, ,0,0,0,0
29160401908,2016-17,0,0,0,0, ,0,0,0,0
29180920402,2016-17,0,0,0,0, ,0,0,0,0
29140409105,2016-17,0,0,0,0, ,0,0,0,0
29050221305,2016-17,0,0,0,0, ,0,0,0,0
29080414405,2016-17,0,0,0,0, ,0,0,0,0
29210317036,2016-17,0,0,0,0, ,0,0,0,0
29060714602,2016-17,0,0,0,0, ,0,0,0,0
29320519005,2016-17,0,0,0,0, ,0,0,0,0
29110500319,2016-17,0,0,0,0, ,0,0,0,0
29100202305,2016-17,0,0,0,0, ,0,0,0,0
29030309510,2016-17,0,0,0,0, ,0,0,0,0
29240600205,2016-17,0,0,0,0, ,0,0,0,0
29200407505,2016-17,0,0,0,0, ,0,0,0,0
29050415412,2016-17,0,0,0,0, ,0,0,0,0
29250312802,2016-17,0,0,0,0, ,0,0,0,0
29040619606,2016-17,0,0,0,0, ,0,0,0,0
29240307104,2016-17,0,0,0,0, ,0,0,0,0
29030305025,2016-17,0,0,0,0, ,0,0,0,0
29120810106,2016-17,0,0,0,0, ,0,0,0,0
29060521905,2016-17,0,0,0,0, ,0,0,0,0
29301001207,2016-17,0,0,0,0, ,0,0,0,0
29310601719,2016-17,0,0,0,0, ,0,0,0,0
29140518401,2016-17,0,0,0,0, ,0,0,0,0
29080102710,2016-17,0,0,0,0, ,0,0,0,0
29290511104,2016-17,0,0,0,0, ,0,0,0,0
29330809128,2016-17,0,0,0,0, ,0,0,0,0
29041110222,2016-17,0,0,0,0, ,0,0,0,0
29031216208,2016-17,0,0,0,0, ,0,0,0,0
29020904314,2016-17,0,0,0,0, ,0,0,0,0
29110613212,2016-17,0,0,0,0, ,0,0,0,0
29130416916,2016-17,0,0,0,0, ,0,0,0,0
